fdc_id,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
2685581,"Tomatoes, crushed, canned",32.313665,1.4375,7.137,0.3975,1.944,,139.8
2685582,"Tomato, puree, canned",34.76031875,1.578125,8.036875,0.265,1.971,,29.36
2710815,"Apricot, with skin, raw",43.47915,0.96125,10.23875,0.405,1.51,,0.0
2710816,"Melons, honeydew, raw",32.935251,0.53125,8.14995,0.2163,,,21.15
2710817,"Plantains, ripe, raw",122.789661,1.15625,30.95215,0.8933,2.125,,0.0
2710818,"Plantains, underripe, raw",144.50803225,1.229375,33.587325,0.685,2.53,,0.0
2710819,"Chia seeds, dry, raw",490.09552,17.013,38.273,32.89,,,0.0
2710820,"Bulgur, dry, raw",349.3017225,11.75625,75.88175,2.421,11.72,,2.18
2710821,"Wild rice, dry, raw",358.55263,12.7875,75.6695,1.704,4.26,,1.014
2710822,"Arugula, baby, raw",25.9078525,1.64875,5.36825,0.325,2.28,,86.93
2710823,"Asparagus, green, raw",23.529215,1.4375,5.1012,0.2163,1.883,,2.46
2710824,"Avocado, Hass, peeled, raw",206.0493,1.8125,8.3235,20.31,,,0.0
2710825,"Rice, black, unenriched, raw",360.53871,7.56875,77.18825,3.438,4.179,,0.0
2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",72.85765625,2.789375,14.689625,1.626,2.428,,0.0
2710827,"Einkorn, grain, dry, raw",345.6801839,15.11719,68.65381,3.811,8.913,,0.0
2710828,"Farro, pearled, dry, raw",344.0049964,12.63944,72.13156,3.103,7.31,,0.845
2710829,"Fonio, grain, dry, raw",376.8911025,7.16875,81.30525,1.693,2.197,,2.967
2710830,"Khorasan, grain, dry, raw",347.7914113,14.75573,71.79427,2.8,10.52,,3.936
2710831,"Kiwifruit (kiwi), green, peeled, raw",58.48917,1.008125,13.818075,0.64,2.129,,2.275
2710832,"Mandarin, seedless, peeled, raw",55.640145,1.039375,13.421825,0.4575,1.328,,0.0
2710833,"Mango, Tommy Atkins, peeled, raw",61.635825,0.5625,15.265,0.5725,1.753,,0.0
2710834,"Mango, Ataulfo, peeled, raw",70.638801,0.6875,17.3962,0.6813,1.289,,0.0
2710835,"Corn flour, masa harina, white or yellow, dry, raw",366.03011,7.5625,76.6895,4.34,7.038,,2.733
2710836,"Pear, Anjou, green, with skin, raw",57.320421,0.3125,14.7674,0.3713,2.636,,0.3975
2710837,"Plum, black, with skin, raw",52.747095,0.578125,13.455575,0.2825,1.346,,0.0
2710838,"Rice, red, unenriched, dry, raw",359.99995,8.5625,76.1545,3.44,4.198,,0.4375
2710839,"Sorghum bran, white, unenriched, dry, raw",364.50325,11.16875,68.69525,9.259,34.95,,2.915
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",349.558015,10.2125,73.5065,3.238,3.299,,0.0
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",338.38971,10.25,74.872,3.265,3.916,,0.0
2710842,"Sorghum, whole grain, white, dry, raw",340.98918,10.08125,73.57375,4.219,8.274,,0.3288
2710843,"Plantains, overripe, raw",117.29613,1.166875,29.191425,0.99,1.792,,0.0
2727566,"Chicken, drumstick, meat and skin, raw",130.121544,18.35625,-0.47505,5.94,,,90.98
2727567,"Chicken, thigh, meat and skin, raw",192.792919,17.10625,-0.17255,13.35,,,63.55
2727568,"Chicken, wing, meat and skin, raw",172.792125,18.40625,-0.45875,10.64,,,84.14
2727569,"Chicken, breast, meat and skin, raw",132.8359,21.40625,-0.42825,4.777,,,48.07
2727570,"Lamb, ground, raw",241.727079,17.4625,-0.2508,18.64,,,53.45
2727571,"Bison, ground, raw",164.411779,19.88125,-0.14955,8.88,,,55.7
2727572,"Beef, short loin (NY strip steak), raw",196.004594,21.325,0.2212,11.54,,,43.09
2727573,"Beef, tenderloin steak, raw",149.001,21.09375,0.18025,6.456,,,44.85
2727574,"Beef, top sirloin steak, raw",146.16307,21.975,0.218,5.708,,,42.85
2727575,"Pork, chop, center cut, raw",144.617,22.8125,-0.5625,5.475,,,39.3
2727576,"Pork, belly, with skin, raw",385.36225,15.2,-0.705,35.83,,,49.7
2747652,"Anchovies, canned in olive oil, with salt, drained",206.065,26.9375,2.4095,9.853,,,5403.0
2747653,"Beet greens, raw",26.367,1.609375,4.658825,0.1438,2.578,,280.5
2747654,"Cod, Pacific or Alaskan, frozen, wild caught",60.84,14.2,0.524,0.216,,,353.9
2747655,"Fennel, bulb, raw",26.8924,0.921875,5.486225,0.14,2.046,,49.03
2747656,"Halibut, frozen, wild caught",81.3345,19.0625,-0.0602,0.5917,,,108.3
2747657,"Lobster, tail only, frozen, wild caught",58.8175,12.99375,0.88555,0.3667,,,508.8
2747658,"Mahi mahi, frozen, wild caught",83.7115,19.79375,0.28655,0.3767,,,51.93
2747659,"Parsnips, raw",87.0745,1.265625,19.292275,0.5381,5.351,,0.4913
2747660,"Peppers, banana or Hungarian wax, seeded, raw",23.9398,0.723125,4.966175,0.1314,1.79,,0.0
2747661,"Peppers, jalapeno, seeded, raw",24.1264,0.621125,5.075675,0.1488,1.725,,0.0
2747662,"Peppers, poblano, seeded, raw",27.9906,1.425625,5.143175,0.1906,2.07,,0.0
2747663,"Peppers, serrano, seeded, raw",29.233,0.855625,6.136275,0.1406,2.521,,0.0
2747664,"Radicchio, raw",26.3679,1.30875,4.96125,0.1431,2.114,,8.076
2747665,"Radishes, red, raw",19.60045,0.65625,4.05682,0.08313,1.314,,51.16
2747666,"Scallops, bay, Patagonian, frozen, wild caught",78.456,16.3875,2.2833,0.4192,,,252.4
2747667,"Scallops, sea, frozen, wild caught",66.3545,13.5125,1.9662,0.4933,,,313.0
2747668,"Sea bass, Chilean, frozen, wild caught",209.3868,14.925,0.1392,16.57,,,109.4
2747669,"Snapper, frozen, wild caught",89.538,20.6625,0.4413,0.5692,,,93.06
2747670,"Snow crab, legs only, frozen  ",69.223,15.5375,1.1063,0.2942,,,728.5
2747671,"Squid (calamari), frozen, tubes only",43.9108,8.80625,0.93215,0.5508,,,271.9
2747672,"Swordfish, frozen, wild caught",151.855,19.2375,0.4495,8.123,,,56.87
2747673,"Tuna, ahi or yellowfin, frozen, wild caught",101.8695,24.7,-0.1045,0.3875,,,94.37
2747674,"Turnips, raw",33.9816,0.953125,7.274975,0.1188,1.915,,12.8
2747676,"Watermelon, seedless, rind only, raw",19.419,0.53125,4.166,0.07,1.535,,3.763
2768188,"Alaska Pollock, raw",78.4785,17.33,0.0565,0.9925,0.0,,114.8
